pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
0.92,0.1,-0.1,0,1.249,0.144,-0.096,0
1.192,0.053,-0.053,0,1.23,0.112,-0.081,0
0.941,0.072,-0.072,0,1.43,0.19,-0.19,0
1.222,0.078,-0.078,0,1.464,0.069,-0.044,0
,,,0,1.153,0.034,-0.034,0
0.63,0.13,-0.13,0,1.57,0.12,-0.12,0
1.323,0.028,-0.028,0,1.02,0.037,-0.037,0
1.59,0.24,-0.24,0,1.58,0.16,-0.12,0
9.7,1.6,-1.6,0,1.33,0.29,-0.2,0
1.88,0.15,-0.15,0,1.4,0.25,-0.14,0
0.261,0.054,-0.054,0,1.18,0.05,-0.05,0
0.56,0.11,-0.11,0,1.067,0.125,-0.071,0
0.7,0.15,-0.15,0,1.286,0.093,-0.093,0
0.173,0.062,-0.062,0,0.903,0.058,-0.045,0
0.237,0.012,-0.012,0,0.912,0.025,-0.025,0
0.39,0.1,-0.1,0,1.13,0.075,-0.075,0
0.768,0.045,-0.045,0,1.41,0.19,-0.19,0
2.24,0.15,-0.15,0,1.382,0.086,-0.086,0
0.595,0.089,-0.089,0,1.34,0.056,-0.056,0
0.806,0.069,-0.069,0,1.126,0.077,-0.077,0
12.7,0.87,-0.87,0,,,,0
0.319,0.07,-0.07,0,0.998,0.019,-0.019,0
0.662,0.055,-0.055,0,1.153,0.053,-0.053,0
3.4,0.14,-0.14,0,1.195,0.067,-0.067,0
0.179,,,0,1.055,0.025,-0.025,0
0.96,0.12,-0.12,0,1.207,0.039,-0.039,0
0.96,0.2,-0.2,0,1.679,0.081,-0.081,0
0.821,0.083,-0.083,0,1.501,0.05,-0.05,0
5.33,0.68,-0.68,0,1.411,0.084,-0.084,0
1.45,0.12,-0.12,0,1.685,0.047,-0.047,0
1.29,0.059,-0.059,0,1.232,0.039,-0.029,0
0.577,,,0,0.945,0.022,-0.022,0
0.12,0.012,-0.012,0,0.563,0.046,-0.034,0
12.9,1.8,-1.6,0,1.384,0.079,-0.074,0
0.138,0.019,-0.019,0,0.873,0.123,-0.075,0
,,,0,1.236,0.031,-0.031,0
,,,,6.9,2.7,-2.9,0
1.61,0.34,-0.34,0,,,,0
1.03,0.04,-0.04,0,,,,0
0.0416,0.0014,-0.0014,0,,,,
0.0378,0.0022,-0.0022,0,,,,
0.0805,0.0032,-0.0032,0,,,,
0.0722,0.0047,-0.0047,0,,,,
0.0732,0.0138,-0.0138,0,,,,
0.2066,0.0139,-0.0139,0,,,,
0.25,0.02,-0.02,0,,,,0
0.17,0.01,-0.01,0,,,,0
0.41,0.02,-0.02,0,,,,0
4.94,0.64,-0.64,0,,,,0
8.16,2.19,-2.19,0,,,,0
1.52,0.3,-0.25,0,,,,0
0.05,0.008,-0.008,0,,,,
0.35837,0.04562,-0.04562,0,,,,0
0.96,0.023,-0.023,0,,,,
0.09,0.02,-0.02,0,,,,0
0.62,0.025,-0.025,0,,,,
0.367,0.022,-0.022,0,,,,
0.03524,0.00724,-0.00724,0,,,,0
0.16,0.02,-0.02,0,,,,0
1.487,0.076,-0.076,0,,,,
8.3,,,0,,,,
6.93,0.27,-0.27,0,,,,0
10.13,0.27,-0.27,0,,,,
,,,0,0.207,0.012,-0.007,0
,,,0,0.385,0.009,-0.007,0
0.94,0.08,-0.08,0,,,,
9.61,0.14,-0.14,0,,,,
11,2,-2,0,,,,
6.383,0.078,-0.078,0,,,,
0.21,0.036,-0.036,0,,,,
0.261,0.04,-0.04,0,,,,
3.5,3.4,-1.2,0,,,,
2.414,0.078,-0.078,0,,,,
1.42,0.09,-0.09,0,,,,0
0.99,0.06,-0.06,0,,,,
0.86,0.25,-0.25,0,,,,0
0.054,0.004,-0.004,0,,,,
0.076,0.007,-0.007,0,,,,
0.27,0.045,-0.045,0,,,,0
11.09,1,-1,0,,,,
7.14,0.19,-0.19,0,,,,0
4.4,0.4,-0.4,0,,,,0
4.51,0.5,-0.5,0,,,,
2.83,0.24,-0.24,0,,,,
0.36,0.04,-0.04,0,,,,
0.93,0.06,-0.06,0,,,,
6.3,1,-1,0,,,,0
1.14,0.13,-0.13,0,,,,0
0.357,0.032,-0.032,0,,,,
1.09,0.09,-0.09,0,,,,0
10.69,0.56,-0.56,0,,,,0
1.1,0.06,-0.06,0,,,,
0.611,0.056,-0.053,0,,,,0
4.83,0.52,-0.52,0,,,,0
0.408,0.057,-0.057,0,,,,0
1.4,0.29,-0.29,0,,,,0
1.27,0.15,-0.15,0,,,,0
1.73,0.11,-0.11,0,,,,0
5.63,0.92,-0.92,0,,,,0
0.174,0.014,-0.014,0,,,,0
2.79,0.25,-0.25,0,,,,0
0.07709,0.01384,-0.01384,0,0.235,0.01,-0.009,0
0.622,0.056,-0.056,0,,,,0
0.0788,0.0097,-0.0097,0,,,,0
6.54,,,0,,,,0
4.5,,,0,,,,
1.51,0.13,-0.13,0,,,,0
2.98,0.14,-0.14,0,,,,
0.02,0.01,-0.01,0,,,,0
3.1,0.4,-0.4,0,,,,0
0.055,0.01,-0.01,0,,,,0
7.28,0.93,-0.93,0,,,,0
1.96,0.22,-0.22,0,,,,0
2.43,0.14,-0.14,0,,,,0
1.812,0.048,-0.048,0,,,,
0.41,0.06,-0.06,0,,,,0
1.769,0.023,-0.023,0,,,,
3.789,0.924,-0.432,0,,,,
0.89,0.07,-0.07,0,,,,
1.6,0.6,-0.6,0,,,,0
1.15,,,0,,,,
1.8,0.1,-0.1,0,,,,
19.12,1.7,-1.7,0,,,,0
3.31,0.16,-0.16,0,,,,
10.95,2.92,-2.92,0,,,,0
5.38,1.31,-1.31,0,,,,0
1.49,0.09,-0.09,0,,,,0
1.42,0.04,-0.04,0,,,,
0.42,0.15,-0.15,0,,,,
2.5,0.05,-0.05,0,,,,
0.0318,0.0025,-0.0024,0,,,,0
0.0922,0.0139,-0.0133,0,,,,0
1.61,0.07,-0.07,0,,,,0
0.82,0.03,-0.03,0,,,,0
0.0151,0.0018,-0.0018,0,,,,0
0.034,0.0034,-0.0033,0,,,,0
0.027,0.0037,-0.0036,0,,,,0
2.14,0.15,-0.15,0,,,,0
26.77,4.4,-2.2,0,,,,0
0.2,0.02,-0.02,0,,,,0
0.865,0.035,-0.035,0,,,,
5.13,0.25,-0.25,0,,,,
2.2,0.21,-0.21,0,,,,0
9.76,2.15,-2.15,0,,,,0
0.415,0.02,-0.02,0,1.026,0.025,-0.027,0
7.8,0.7,-0.7,0,,,,
0.451,0.03,-0.03,0,,,,
1.33,0.08,-0.08,0,,,,
1.18,0.08,-0.08,0,,,,
0.66,0.1,-0.1,0,,,,
9.69,0.4,-0.4,0,,,,0
1.25,0.15,-0.15,0,,,,
5.3,0.7,-0.7,0,,,,
4.44,3.17,-3.17,0,,,,0
3.07,0.42,-0.42,0,,,,0
1.67,0.12,-0.12,0,,,,0
1.21,0.06,-0.06,0,,,,
3.48,0.24,-0.24,0,,,,
6.02,0.48,-0.48,0,,,,0
2.23,0.42,-0.42,0,,,,0
2.28,0.26,-0.26,0,,,,
0.02026,0.00192,-0.00192,0,,,,
0.01759,0.0023,-0.0023,0,,,,
2.12,0.07,-0.07,0,,,,0
6.56,0.32,-0.32,0,,,,0
0.08983,0.00469,-0.00456,0,,,,0
1.21,,,0,,,,0
1.121,0.069,-0.069,0,,,,
5.14,0.34,-0.34,0,,,,
2.3,0.18,-0.18,0,,,,
0.85,0.67,-0.05,0,,,,0
1.23,0.25,-0.25,0,,,,0
5.16,0.82,-0.82,0,,,,0
33.7,5.5,-5.5,0,,,,0
1.3,0.17,-0.17,0,,,,0
0.38,0.06,-0.06,0,0.74,0.02,-0.02,0
1.33,0.15,-0.15,0,,,,0
2.75,0.16,-0.16,0,,,,
2.71,1.14,-0.66,0,,,,
2.18,0.17,-0.17,0,,,,
1.869,0.071,-0.071,0,,,,
0.02363,0.00343,-0.00318,0,0.146,0.005,-0.005,0
0.02552,0.00573,-0.00532,0,0.213,0.011,-0.011,0
2.95,0.29,-0.29,0,,,,0
0.82,0.07,-0.07,0,,,,0
5.37,0.39,-0.39,0,,,,0
2.45,0.11,-0.11,0,,,,0
2.58,0.16,-0.16,0,,,,
2.6,0.3,-0.3,0,,,,
0.99,0.08,-0.08,0,,,,0
0.82,0.07,-0.07,0,,,,0
9.88,0.69,-0.69,0,,,,0
8.6,0.5,-0.55,0,,,,0
0.74,0.05,-0.04,0,,,,
0.013,0.002,-0.002,0,,,,0
10.67,0.74,-0.74,0,,,,0
1.53,0.47,-0.47,0,,,,0
14,2.3,-2.3,0,,,,0
1.13,0.05,-0.05,0,,,,
1.9,0.13,-0.13,0,,,,
2.218,0.059,-0.059,0,,,,
0.768,0.044,-0.044,0,,,,
0.934,0.079,-0.079,0,,,,0
3.62,0.23,-0.23,0,,,,0
1.676,,,0,,,,0
1.814,,,0,,,,
0.03321,,,0,,,,
0.5219,,,0,,,,
0.26,0.02,-0.02,0,,,,0
5.1,0.81,-0.81,0,,,,0
9.84,2.75,-2.75,0,,,,0
0.7836,0.0098,-0.0098,0,,,,
2.201,0.037,-0.037,0,,,,
0.0696,0.0063,-0.0063,0,,,,0
0.443,0.083,-0.083,0,,,,0
0.05078,0.00856,-0.00856,0,,,,
1.99792,0.25894,-0.25894,0,,,,0
0.31,0.05,-0.05,0,,,,0
0.04059,0.00503,-0.00503,0,,,,
2.89,0.23,-0.23,0,,,,
6.43,0.31,-0.22,0,,,,
3.53,0.11,-0.11,0,,,,
1.7,0.09,-0.12,0,,,,
7.659,0.0975,-0.0975,0,,,,
17.193,0.21,-0.21,0,,,,
0.27,0.02,-0.02,0,,,,0
8.79,3.63,-3.63,0,,,,0
2.88,,,0,,,,
4.04,,,0,,,,
0.66,0.11,-0.11,0,,,,0
10.13,2.29,-2.29,0,,,,0
2.62,0.16,-0.16,0,,,,0
2.72,0.49,-0.49,0,,,,0
3.51,0.21,-0.21,0,1.1,0.03,-0.03,0
2.7,0.3,-0.3,0,,,,
8.97,3.32,-3.32,0,,,,0
0.598,0.029,-0.029,0,,,,
0.02825,0.00346,-0.00346,0,,,,
0.87,0.07,-0.06,0,,,,
0.01806,0.00208,-0.00208,0,,,,0
0.02888,0.00305,-0.00305,0,,,,0
0.04751,0.02014,-0.01904,0,,,,
1.69,0.2,-0.2,0,,,,0
0.15,0.02,-0.02,0,,,,0
8.03,2.51,-2.51,0,,,,0
0.081,0.02,-0.02,0,,,,0
0.916,0.076,-0.076,0,,,,
2.194,0.064,-0.064,0,,,,
3.18,0.23,-0.23,0,,,,
20.13,1.66,-1.66,0,,,,0
0.03839,0.00315,-0.0044,0,,,,0
1.685,0.041,-0.041,0,,,,
8.37,0.34,-0.36,0,,,,0
2.54,0.19,-0.19,0,,,,
0.02,0,0,0,,,,0
0.64,,,0,,,,
0.54,,,0,,,,
0.4,0.06,-0.06,0,,,,0
3.95,0.22,-0.22,0,,,,0
3.57,0.55,-0.55,0,,,,
1.01,0.014,-0.014,0,,,,
0.75,,,0,,,,
